metric	value
BLEU	26.7151
chrF	55.4428
LongYAAL (CU)	2171.7749
LongAL (CU)	2444.8360
LongLAAL (CU)	2546.9688
LongAP (CU)	3.8977
LongDAL (CU)	3196.8263
LongYAAL (CA)	2443.5344
LongAL (CA)	2747.8521
LongLAAL (CA)	2840.6906
LongAP (CA)	4.1307
LongDAL (CA)	3498.3696
